Chapter,Reference,Body,URL
Chapter 1 General,110.8,"""Only wiring methods recognized as suitable are included in    this Code. The recognized methods of wiring shall be permitted to be installed in any type    of building, occupancy, or premises wiring system, except as otherwise provided in this    Code.""",https://2023.antflix.net/#110.8
Chapter 1 General,110.9,"""Equipment intended to interrupt current at    fault levels shall have an interrupting rating at nominal circuit voltage at    least equal to the available fault current at the line terminals of the equipment. Equipment intended to interrupt current at other than fault levels shall have an interrupting rating at nominal circuit voltage at least equal to the current that must be interrupted.""",https://2023.antflix.net/#110.9
Chapter 1 General,110.10,"""The overcurrent protective devices, the total    impedance, the equipment short-circuit current ratings, and other characteristics of the    circuit to be protected shall be selected and coordinated to permit the circuit protective devices    used to clear a fault to do so without extensive damage to the electrical equipment of the    circuit. This fault shall be assumed to be either between two or more of the circuit conductors or    between any circuit conductor and the equipment grounding conductor(s) permitted in 250.118. Listed equipment applied in    accordance with their listing shall be considered to meet the requirements of this section.""",https://2023.antflix.net/#110.10
Chapter 1 General,110.11,"""Unless identified for use in the operating environment, no conductors or    equipment shall be located in damp or wet locations; where exposed to gases, fumes, vapors, liquids, or other agents that    have a deteriorating effect on the conductors or equipment; or where exposed to excessive temperatures. Informational Note No. 1: See 300.6 for protection against corrosion.Informational Note No. 2: Some cleaning and lubricating compounds can cause severe deterioration of many plastic materials used for insulating and structural applications in equipment.Equipment not identified for outdoor use and equipment identified only for indoor use, such as dry locations",https://2023.antflix.net/#110.11
Chapter 1 General,110.12,"""Electrical equipment shall be installed in a    professional and skillful manner. Informational Note: See ANSI/NECA 1-2015, Standard for Good Workmanship in Electrical Construction, and other ANSI-approved installation standards for information on accepted industry practices.""",https://2023.antflix.net/#110.12
Chapter 1 General,110.12(A),"""Unused openings, other than those intended for the    operation of equipment, those intended for mounting purposes, or those    permitted as part of the design for listed equipment, shall be closed to afford    protection substantially equivalent to the wall of the equipment. Where metallic plugs or plates    are used with nonmetallic enclosures, they shall be recessed at least 6 mm    (1/4 in.) from the outer surface of the enclosure.""",https://2023.antflix.net/#110.12(A)
Chapter 1 General,110.12(B),"""Internal parts of electrical equipment, including busbars,    wiring terminals, insulators, and other surfaces, shall not be damaged    or contaminated by foreign materials such as paint, plaster, cleaners, abrasives, or corrosive    residues. There shall be no damaged parts that may adversely affect safe operation or mechanical    strength of the equipment such as parts that are broken; bent; cut; or    deteriorated by corrosion, chemical action, or overheating.""",https://2023.antflix.net/#110.12(B)
Chapter 1 General,110.12(C),"""Cables and conductors installed exposed on the surfaces of ceilings and sidewalls shall be    supported by the building structure in such a manner that the cables and conductors will not be    damaged by normal building use. Such cables and conductors shall be secured by hardware including    straps, staples, cable ties, hangers, or similar fittings designed and installed so as not    to damage the cable. The installation shall also conform with 300.4 and 300.11. Nonmetallic cable ties and other    nonmetallic cable accessories used to secure and support cables in other spaces used for    environmental air (plenums) shall be listed as having low smoke and heat release    properties. Informational Note No. 1: See NFPA 90A-2021, Standard for the Installation of Air-Conditioning and Ventilating Systems, 4.3.11.2.6.5 and 4.3.11.5.5.6, for discrete combustible components installed in accordance with 300.22(C).Informational Note No. 2: Paint, plaster, cleaners, abrasives, corrosive residues, or other contaminants may result in an undetermined alteration of optical fiber cable properties.""",https://2023.antflix.net/#110.12(C)
Chapter 1 General,110.13,"""110.13 Mounting and Cooling of Equipment""",https://2023.antflix.net/#110.13
Chapter 1 General,110.13(A),"""Electrical equipment shall be firmly secured to the    surface on which it is mounted. Wooden plugs driven into holes in masonry, concrete, plaster, or    similar materials shall not be used.""",https://2023.antflix.net/#110.13(A)
Chapter 1 General,110.13(B),"""Electrical equipment that depends on the natural    circulation of air and convection principles for cooling of exposed surfaces shall be installed so that room airflow over    such surfaces is not prevented by walls or by adjacent installed equipment. For equipment designed for floor mounting, clearance between top    surfaces and adjacent surfaces shall be provided to dissipate rising warm air. Electrical equipment provided with ventilating openings shall be installed so that walls or other obstructions do not prevent the free circulation of air through the equipment.""",https://2023.antflix.net/#110.13(B)
Chapter 1 General,110.14,"""Because of different characteristics of dissimilar metals,    devices    such as pressure terminal or pressure splicing connectors and soldering    lugs shall be identified for the material of the conductor and shall be    properly installed and used. Conductors of dissimilar metals shall not be intermixed in a terminal or splicing connector where physical contact occurs    between dissimilar conductors unless the device is identified for the purpose and conditions of use. Materials such    as solder, fluxes, inhibitors, and compounds, where employed, shall be suitable for the use and    shall be of a type that will not adversely affect the conductors, installation, or equipment. Connectors and terminals for conductors more finely stranded than Class B and Class C stranding as shown in Chapter 9, Table 10, shall be identified for the specific conductor class or classes.""",https://2023.antflix.net/#110.14
Chapter 1 General,110.14(A),"""Connection of conductors to terminal parts shall ensure a mechanically secure electrical    connection without damaging the conductors and shall be made by means of pressure connectors (including set-screw type), solder lugs, or splices to    flexible leads. Connection by means of wire-binding screws or studs and nuts that have upturned lugs or    the equivalent shall be permitted for 10 AWG or smaller conductors. Terminals for more than one conductor and terminals used to connect aluminum shall be so identified.""",https://2023.antflix.net/#110.14(A)
Chapter 1 General,110.14(B),"""Conductors shall be spliced or joined with splicing devices identified for the use or by brazing, welding, or soldering with    a fusible metal or alloy. Soldered splices shall first be spliced or joined so as to be mechanically    and electrically secure without solder and then be soldered. All splices and joints and the free    ends of conductors shall be covered with an insulation equivalent to that of the conductors or with    an identified insulating device. Wire connectors or splicing means installed on conductors for direct burial shall be listed for such use.""",https://2023.antflix.net/#110.14(B)
Chapter 1 General,110.14(C),"""The temperature rating associated with the ampacity    of a conductor shall be selected and coordinated so as not to exceed the lowest temperature rating    of any connected termination, conductor, or device. Conductors with temperature    ratings higher than specified for terminations shall be permitted to be used for ampacity adjustment,    correction, or both."" ""The determination of termination provisions of equipment shall be based on 110.14(C)(1)(a) or (C)(1)(b). Unless    the equipment is listed and marked otherwise, conductor ampacities used in determining equipment termination    provisions shall be based on Table 310.16 as appropriately modified by 310.12. Termination provisions of equipment for circuits rated 100 amperes or less, or marked for 14 AWG through 1 AWG conductors, shall be used only for one of the following:Conductors rated 60°C (140°F).Conductors with higher temperature ratings, provided the ampacity of such conductors is determined based     on the 60°C (140°F) ampacity of the conductor size used.Conductors with higher temperature ratings if the equipment is listed and identified for use with such conductors.For motors marked with design letters B, C, or D, conductors having     an insulation rating of 75°C (167°F) or higher shall be permitted to be used,     provided the ampacity of such conductors does not exceed the     75°C (167°F) ampacity.Termination provisions of equipment for circuits rated over 100 amperes, or marked for conductors larger than 1 AWG, shall be used only for one of the following:Conductors rated 75°C (167°F)Conductors with higher temperature ratings, provided the ampacity     of such conductors does not exceed the 75°C (167°F) ampacity     of the conductor size used, or up to their ampacity if the equipment is listed and identified for use with such conductors"" ""Separately installed pressure connectors shall be used    with conductors at the ampacities not exceeding the ampacity at the listed and identified temperature rating of the connector. Informational Note: Equipment markings or listing information may additionally restrict the sizing and temperature ratings of connected conductors.""",https://2023.antflix.net/#110.14(C)
Chapter 1 General,110.14(D),"""Tightening torque values for terminal connections shall be as indicated on equipment or in    installation instructions provided by the manufacturer. An approved means shall be used to achieve    the indicated torque value. Informational Note No. 1: Examples of approved means of achieving the indicated torque values include torque tools or devices such as shear bolts or breakaway-style devices with visual indicators that demonstrate that the proper torque has been applied.Informational Note No. 2: See UL Standard 486A-486B, Standard for Safety-Wire Connectors, Informative Annex I for torque values in the absence of manufacturer's recommendations. The equipment manufacturer can be contacted if numeric torque values are not indicated on the equipment or if the installation instructions are not available.Informational Note No. 3: See NFPA 70B-2019, Recommended Practice for Electrical Equipment Maintenance, Section 8.11 for additional information for torquing threaded connections and terminations.    """,https://2023.antflix.net/#110.14(D)
Chapter 1 General,110.15,"""On a 4-wire, delta-connected system where the    midpoint of one phase winding is grounded, only the conductor or busbar    having the higher phase voltage to ground shall be durably and permanently marked by an    outer finish that is orange in color or by other effective means. Such identification shall be    placed at each point on the system where a connection is made if the grounded conductor is also present.""",https://2023.antflix.net/#110.15
Chapter 1 General,110.16,"""110.16 Arc-Flash Hazard Warning""",https://2023.antflix.net/#110.16
Chapter 1 General,110.16(A),"""Electrical equipment, such as switchboards, switchgear, enclosed panelboards, industrial control panels, meter socket enclosures, and motor control centers, that is in other than dwelling units, and    is likely to require examination, adjustment, servicing, or maintenance while energized, shall be field or factory marked to warn qualified    persons of potential electric arc flash hazards. The marking shall meet the requirements in 110.21 (B)    and shall be located so as to be clearly visible to qualified persons before examination,    adjustment, servicing, or maintenance of the equipment.""",https://2023.antflix.net/#110.16(A)
Chapter 1 General,110.16(B),"""In other than dwelling units, in addition to the    requirements in 110.16(A), a permanent arc flash label shall be field or factory    applied to service equipment and feeder supplied equipment rated 1000    amperes or more. The arc flash label shall be in accordance with applicable industry practice and    include the date the label was applied. The label shall meet the requirements of 110.21(B). Informational Note No. 1: See ANSI Z535.4-2011 (R2017), Product Safety Signs and Labels, for guidelines for the design of safety signs and labels for application to products.Informational Note No. 2: See NFPA 70E-2021, Standard for Electrical Safety in the Workplace, for applicable industry practices for equipment labeling. This standard provides specific criteria for developing arc-flash labels for equipment that provides nominal system voltage, incident energy levels, arc-flash boundaries, minimum required levels of personal protective equipment, and so forth.""",https://2023.antflix.net/#110.16(B)
Chapter 1 General,110.17,"""Servicing and electrical preventive    maintenance shall be performed by qualified persons trained in servicing and maintenance of equipment and shall comply with the following: The servicing and electrical preventive maintenance shall be     performed in accordance with the original equipment manufacturer's     instructions and information included in the listing information, applicable industry     standards, or as approved by the authority having jurisdiction.The servicing and electrical preventive maintenance shall be performed using identified replacement parts that are verified under applicable product standards. The replacement parts shall comply with at least one of the following:Be provided by the original equipment manufacturer Be designed by an engineer experienced in the design of replacement     parts for the type of equipment being serviced or maintainedBe approved by the authority having jurisdictionInformational Note No. 1: For equipment that is not listed or field labeled, or for which components are no longer available from the original equipment manufacturer, one way to determine suitability is to review the documentation that accompanies the replacement parts.Informational Note No. 2: See NFPA 70B, Recommended Practice for Electrical Equipment Maintenance, for information related to preventive maintenance for electrical, electronic, and communication systems and equipment.""",https://2023.antflix.net/#110.17
Chapter 1 General,110.18,"""Parts of electrical equipment that in ordinary operation    produce arcs, sparks, flames, or molten metal shall be enclosed or separated and isolated from all combustible material.""",https://2023.antflix.net/#110.18
Chapter 1 General,110.19,"""Circuits for lighting and power shall not be connected to    any system that contains trolley wires with a ground return. Exception: Such circuit connections shall be permitted in car houses, power houses, or     passenger and freight stations operated in connection with electric railways.""",https://2023.antflix.net/#110.19
Chapter 1 General,110.20,"""Reconditioned equipment shall be    permitted except where prohibited elsewhere in this Code. Equipment that is    restored to operating condition shall be reconditioned with identified replacement parts, verified under applicable    standards, that are either provided by the original equipment manufacturer or that are    designed by an engineer experienced in the design of replacement parts for the type of equipment being reconditioned.""",https://2023.antflix.net/#110.20
Chapter 1 General,110.20(A),"""Equipment that is reconditioned and    required by this Code to be listed shall be listed or field labeled as reconditioned using available instructions    from the original equipment manufacturer.""",https://2023.antflix.net/#110.20(A)
Chapter 1 General,110.20(B),"""Equipment that is reconditioned and    not required by this Code to be listed shall comply with one of the following: Be listed or field labeled as reconditionedHave the reconditioning performed in accordance with the original equipment     manufacturer instructions""",https://2023.antflix.net/#110.20(B)
Chapter 1 General,110.20(C),"""If the options specified in 110.20(A) or (B)    are not available, the authority having jurisdiction shall be    permitted to approve reconditioned equipment, and the reconditioner shall    provide the authority having jurisdiction with documentation of the changes    to the product.""",https://2023.antflix.net/#110.20(C)
Chapter 1 General,110.21,"""110.21 Marking""",https://2023.antflix.net/#110.21
Chapter 1 General,110.21(A),"""(A) Equipment Markings"" ""The manufacturer's name, trademark, or other descriptive    marking by which the organization responsible for the product can be identified shall be applied or affixed onto all electrical equipment. Other markings that indicate voltage,    current, wattage, or other ratings shall be provided as specified elsewhere in this Code.    The marking shall be of sufficient durability to withstand the environment involved."" ""Reconditioned equipment shall be    marked with the following: Name, trademark, or other descriptive marking of the organization that     performed the reconditioningThe date of the reconditioningThe term reconditioned or other approved wording     or symbol indicating that the equipment has been reconditionedThe original listing mark shall be removed or made permanently illegible. The equipment nameplate shall not be required to be removed or made permanently illegible, only the part of the nameplate that includes the listing mark, if applicable. Approval of the reconditioned equipment shall not be based solely on the equipment's original listing.Exception: In industrial occupancies, where conditions of maintenance     and supervision ensure that only qualified persons service the equipment, the     markings indicated in 110.21(A)(2) shall not be required for equipment that     is reconditioned by the owner or operator as part     of a regular equipment maintenance program.Informational Note No. 1: ANSI-approved standards are available for application of reconditioned and refurbished equipment.Informational Note No. 2: The term reconditioned may be interchangeable with the terms rebuilt, refurbished, or remanufactured even though these are sometimes different processes.""",https://2023.antflix.net/#110.21(A)
Chapter 1 General,110.21(B),"""Where caution, warning, or danger hazard markings such as    labels or signs are required by this Code, the markings shall meet the following    requirements: The marking shall be of sufficient durability to withstand the environment involved and warn of the hazards using effective words, colors, symbols, or any combination thereof.Informational Note No. 1: See ANSI Z535.2-2011 (R2017), Environmental and Facility Safety Signs, which describes the design, application, and use of safety signs in facilities and in the environment.     Informational Note No. 2: See ANSI Z535.4-2011 (R2017), Product Safety Signs and Labels, which details the design, application, use, and placement of safety signs and labels on a wide variety of products.The marking shall be permanently affixed to the equipment or     wiring method and shall not be handwritten.Exception to (2): Portions of the markings that are variable, or that could     be subject to changes, shall be permitted to be handwritten and shall be legible.""",https://2023.antflix.net/#110.21(B)
Chapter 1 General,110.22,"""110.22 Identification of Disconnecting Means""",https://2023.antflix.net/#110.22
Chapter 1 General,110.22(A),"""Each disconnecting means shall be legibly    marked to indicate its purpose unless located and arranged so the purpose is evident. In other than    one- or two-family dwellings, the marking shall include the identification and location of the    circuit source that supplies the disconnecting means unless located and    arranged so the identification and location of the circuit source is evident. The marking shall be    of sufficient durability to withstand the environment involved.""",https://2023.antflix.net/#110.22(A)
Chapter 1 General,110.22(B),"""Equipment enclosures for circuit breakers or fuses applied in compliance with series    combination ratings selected under engineering supervision in accordance with 240.86(A) shall be legibly marked in the    field as directed by the engineer to indicate the equipment has been applied with a series    combination rating. The marking shall meet the requirements in 110.21(B) and shall    be readily visible and state the following: CAUTION - ENGINEERED SERIES COMBINATION SYSTEM RATED______ AMPERES. IDENTIFIED REPLACEMENT COMPONENTS REQUIRED.""",https://2023.antflix.net/#110.22(B)
Chapter 1 General,110.22(C),"""Equipment enclosures for circuit breakers or fuses applied in compliance with the    series combination ratings marked on the equipment by the manufacturer in    accordance with 240.86(B) shall be legibly marked in the    field to indicate the equipment has been applied with a series combination rating. The    marking shall meet the requirements in 110.21(B) and shall be readily visible and    state the following: CAUTION - SERIES COMBINATION SYSTEM RATED______ AMPERES. IDENTIFIED REPLACEMENT COMPONENTS REQUIRED.Informational Note: See IEEE 3004.5-2014 Recommended Practice for the Application of Low-Voltage Circuit Breakers in Industrial and     Commercial Power Systems, for further information on series tested systems.""",https://2023.antflix.net/#110.22(C)
Chapter 1 General,110.23,"""Unused current transformers associated with potentially    energized circuits shall be short-circuited.""",https://2023.antflix.net/#110.23
Chapter 1 General,110.24,"""110.24 Available Fault Current""",https://2023.antflix.net/#110.24
Chapter 1 General,110.24(A),"""Service equipment at other than dwelling units shall be legibly marked in the field with the    available fault current. The field marking(s) shall include the date the fault-current calculation was performed and be of sufficient    durability to withstand the environment involved. The calculation shall be documented and made    available to those authorized to design, install, inspect, maintain, or operate the system. Informational Note No. 1: See NFPA 70E-2021, Standard for Electrical Safety in the Workplace, for assistance in determining the severity of potential exposure, planning safe work practices, and selecting personal protective equipment. The available fault-current marking(s) addressed in 110.24 is related to required short-circuit current and interrupting ratings of equipment.Informational Note No. 2: Values of available fault current for use in determining appropriate minimum short-circuit current and interrupting     ratings of service equipment are available from electric utilities in published or other forms.""",https://2023.antflix.net/#110.24(A)
Chapter 1 General,110.24(B),"""When modifications to the electrical installation occur    that affect the available fault current at the service, the available fault current shall    be verified or recalculated as necessary to ensure the service equipment ratings are sufficient    for the available fault current at the line terminals of the equipment. The required field marking(s)    in 110.24(A) shall be adjusted to reflect the new level of available    fault current. Exception: The field marking requirements in 110.24(A) and 110.24(B) shall not be required in     industrial installations where conditions of maintenance and supervision ensure that only     qualified persons service the equipment.""",https://2023.antflix.net/#110.24(B)
Chapter 1 General,110.25,"""If a disconnecting means is required to be    lockable open elsewhere in this Code, it shall be capable of being locked in the open    position. The provisions for locking shall remain in place with or without the lock installed. Exception: Locking provisions for a cord-and-plug connection shall not be     required to remain in place without the lock installed.""",https://2023.antflix.net/#110.25
Chapter 1 General,1000,"""Part II 1000 Volts, Nominal, or Less""",https://2023.antflix.net/#1000
Chapter 1 General,110.26,"""Working space, and access to and egress from    working space, shall be provided and maintained about all electrical equipment to permit ready and safe operation and maintenance of    such equipment. Open equipment doors shall not impede access to    and egress from the working space. Access or egress is impeded if one or more simultaneously    opened equipment doors restrict working space access to be less than    610 mm (24 in.) wide and 2.0 m (61/2 ft) high.""",https://2023.antflix.net/#110.26
Chapter 1 General,110.26(A),"""Working space for equipment operating at    1000 volts, nominal, or less to ground and likely to require examination, adjustment, servicing, or maintenance while energized shall comply    with the dimensions of 110.26(A)(1), (A)(2), (A)(3), and (A)(4) or as required or    permitted elsewhere in this Code.Informational Note: See NFPA 70E-2021, Standard for Electrical Safety in the Workplace, for guidance, such as determining severity of potential exposure, planning safe work practices including establishing an electrically safe work condition, arc flash labeling, and selecting personal protective equipment."" ""The depth of the working space in the direction of live parts shall not be less than that specified in Table 110.26(A)(1) unless the requirements of    110.26(A)(1)(a), (A)(1)(b), or (A)(1)(c) are met. Distances shall be measured from the exposed live parts or from the enclosure or opening if    the live parts are enclosed. Dead-Front Assemblies. Working space shall not be required in the back or sides of     assemblies, such as dead-front switchboards, switchgear, or     motor control centers, where all connections and all     renewable or adjustable parts, such as fuses or switches, are accessible from locations other than the back or sides.     Where rear access is required to work on nonelectrical parts on the back of enclosed equipment, a minimum horizontal     working space of 762 mm (30 in.) shall be provided.Low Voltage. By special permission, smaller working spaces shall be     permitted where all exposed live parts     operate at not greater than 30 volts rms, 42 volts peak, or 60 volts dc.Existing Buildings. In existing buildings where electrical equipment is being replaced, Condition 2 working     clearance shall be permitted between dead-front switchboards,     switchgear, enclosed panelboards, or     motor control centers located across the aisle from each     other where conditions of maintenance and supervision ensure that written procedures have     been adopted to prohibit equipment on both sides of the aisle from being open at     the same time and qualified persons who are authorized will service the     installation.Table 110.26(A)(1) Working SpacesNominal Voltage to     GroundMinimum Clear DistanceCondition 1Condition 2Condition 30—150900 mm (3 ft)900 mm (3 ft)900 mm (3 ft)151—600900 mm (3 ft)1.0 m (3 ft 6 in.)1.2 m (4 ft)     601—1000900 mm     (3 ft)1.2 m     (4 ft)1.5 m     (5 ft)Note: Where the conditions are as follows:Condition 1 - Exposed live parts on one side of the working space and no live or grounded parts on the other side of the working space, or exposed live parts on both sides of the working space that are effectively guarded by insulating materials.Condition 2 - Exposed live parts on one side of the working space and grounded parts on the other side of the working space. Concrete, brick, or tile walls shall be considered as grounded.    Condition 3 - Exposed live parts on both sides of the working space."" ""The width of the working space in front of the electrical equipment shall be the width of the equipment or 762 mm (30    in.), whichever is greater. In all cases, the work space shall permit at least a 90-degree    opening of equipment doors or hinged panels."" ""The work space shall be clear and extend from the    grade, floor, or platform to a height of 2.0 m (61/2 ft) or the height of the    equipment, whichever is greater. Within the height requirements    of this section, other equipment or support structures, such as concrete pads,    associated with the electrical installation and located above or below the electrical equipment shall be permitted to extend not more than 150 mm (6    in.) beyond the front of the electrical equipment. Exception No. 1: On battery systems mounted on open racks, the top clearance     shall comply with 480.10(D).Exception No. 2: In existing dwelling units, service equipment or enclosed panelboards     that do not exceed 200 amperes shall be permitted in spaces where the height of the     working space is less than 2.0 m (61/2     ft).Exception No. 3: Meters that are installed in meter sockets shall be     permitted to extend beyond the other equipment. The meter socket shall     be required to follow the rules of this section."" ""Where equipment operating at 1000 volts,    nominal, or less to ground and likely to require examination, adjustment, servicing, or maintenance while energized is required by    installation instructions or function to be located in a space with limited access, all of the    following shall apply: Where equipment is installed above a lay-in ceiling, there     shall be an opening not smaller than 559 mm x 559 mm (22 in. x 22 in.), or in a crawl space, there shall be an accessible opening not smaller than 559 mm x 762 mm (22     in. x 30 in.).The width of the working space shall be the width of the equipment enclosure or a minimum of 762 mm     (30 in.), whichever is greater.All enclosure doors or hinged panels shall be capable of     opening a minimum of 90 degrees.The space in front of the enclosure shall     comply with the depth requirements of Table 110.26(A)(1) and shall be unobstructed to the     floor by fixed cabinets, walls, or partitions. Space reductions in accordance with 110.26(A)(1)(b) shall be permitted. The maximum height of     the working space shall be the height necessary to install the equipment in the limited space. A horizontal     ceiling structural member or access panel shall be permitted in this space provided the     location of weight-bearing structural members does not result in a side reach of more than     150 mm (6 in.) to work within the enclosure."" ""Where switches, cutouts, or other equipment operating at    1000 volts, nominal, or less are installed in a vault, room, or enclosure where there    are exposed live parts or exposed wiring operating over 1000 volts, nominal, the high-voltage equipment shall be effectively separated    from the space occupied by the low-voltage equipment by a suitable partition, fence, or screen."" ""The grade, floor, or platform in the required working space shall    be kept clear, and the floor, grade, or platform in the working space shall be as level and flat as    practical for the entire required depth and width of the working space.""",https://2023.antflix.net/#110.26(A)
Chapter 1 General,110.26(B),"""Working space required by this section shall not    be used for storage. When normally enclosed live parts are exposed for inspection or servicing, the working space, if in a passageway or    general open space, shall be suitably guarded.""",https://2023.antflix.net/#110.26(B)
Chapter 1 General,110.26(C),"""(C) Entrance to and Egress From Working Space"" ""At least one entrance of sufficient area shall be provided    to give access to and egress from working space about electrical equipment."" ""For large equipment that contains overcurrent devices, switching devices, or control devices,    there shall be one entrance to and egress from the required working space not less than 610 mm    (24 in.) wide and 2.0 m (61/2 ft) high at each end of the working space. This    requirement shall apply to either of the following conditions: For equipment rated 1200 amperes or more and over 1.8 m (6     ft) wideFor service disconnecting means installed in     accordance with 230.71(B) where the combined     ampere rating is 1200 amperes or more and where the combined width is over 1.8 m (6 ft)A single entrance to and egress from the required working space shall be permitted where either of the conditions in 110.26(C)(2)(a) or (C)(2)(b) is met.Unobstructed Egress. Where the location permits a     continuous and unobstructed way of egress travel, a single entrance to the working space shall be permitted.Extra Working Space. Where the depth of     the working space is twice that required by 110.26(A)(1), a single entrance shall be permitted. It     shall be located such that the distance from the equipment to the nearest edge of     the entrance is not less than the minimum clear distance specified in Table 110.26(A)(1) for     equipment operating at that voltage and in that condition."" ""Where equipment rated 800 amperes or more that    contains overcurrent devices, switching devices, or control devices is    installed and there is a personnel door(s) intended for entrance to and egress from the working space less    than 7.6 m (25 ft) from the nearest edge of the working space, the door(s) shall open at least 90    degrees in the direction of egress and be equipped with listed panic hardware or listed fire exit    hardware. Informational Note: See UL 305, Standard     For Panic Hardware, for additional information on panic hardware, and see UL 10C, Standard for Safety for Positive Pressure Fire Tests of Door Assemblies, for additional information.""",https://2023.antflix.net/#110.26(C)
Chapter 1 General,110.26(D),"""Illumination shall be provided for all working spaces    about service equipment, switchboards, switchgear, enclosedpanelboards, or motor control centers installed indoors.    Control by    automatic means shall not be permitted to control all illumination    within the working space. Additional lighting outlets shall not be required    where the work space is illuminated by an adjacent light source or as permitted    by 210.70(A)(1), Exception No. 1, for    switched receptacles.""",https://2023.antflix.net/#110.26(D)
